BoroughID,Coal,Electricity,Gas,Oil
Barking and Dagenham,5601758.722,261584448.5,785459208.5,2550074.877
Barnet,5352878.762,618659527,2252749570,8515112.307
Bexley,6585644.566,371815290.2,1281978816,5957844.607
Brent,3864828.521,424582525.8,1577570201,5068564.459
Bromley,7096117.249,547354739.7,2112589187,13570600.19
Camden,1303572.869,348539094.9,983231109,9363712.534
City of London,5017.53944,28192856.66,28279399.64,339308.5691
Croydon,8910374.105,578993982,2119146763,8724940.791
Ealing,6046834.509,469328066.7,1725608814,6387327.408
Enfield,7252236.7,487051655.2,1618554975,6193907.707
Greenwich,5416565.602,371930977.1,1180046748,4650866.691
Hackney,2117374,343110247.1,1009267359,3011888.961
Hammersmith and Fulham,2071512.121,286363682.1,914847128.3,3643233.409
Haringey,4146441.449,358651754.7,1307055038,3079861.055
Harrow,4034051.481,347648953.9,1470152524,5359157.95
Havering,6746861.205,398335676.6,1399746967,7517467.734
Hillingdon,5613642.581,424899199.2,1491455226,9081798.976
Hounslow,4719152.119,382450674.4,1211482815,6999859.416
Islington,1528409.887,315553804.4,934426455.6,3153051.759
Kensington and Chelsea,1244025.474,370422147.6,898254819.5,8017863.032
Kingston,3260489.29,260841004.3,924495450,3343238.219
Lambeth,3735238.518,436272708,1438315642,6030116.747
Lewisham,5838576.227,410527510.3,1379607465,4069074.374
London,145059133.3,12791222867,41702310425,190053110.4
Merton,5381070.547,312979047.7,1110374064,4375533.395
Newham,6025414.185,378754411.3,1127838053,1862637.311
Redbridge,5833223.228,396495785.5,1496260919,4719888.099
Richmond,4089757.396,338776934.9,1230090658,6378928.794
Southwark,2950962.435,445612191.3,1076545042,8275864.267
Sutton,4659965.352,322550520.1,1078963037,5076760.397
Tower Hamlets,1446290.458,417754153.2,724301127.6,4509962.628
Waltham Forest,6321700.456,345852778,1241710101,2932966.678
Wandsworth,4543353.298,498066955.2,1581095200,5582956.579
Westminster,1315792.489,491269563.6,990810542.6,11708740.48
