BoroughID,Coal,Electricity,Gas,Oil
Barking and Dagenham,157282.9645,393004158.7,223881355.7,108566695.5
Barnet,1850911.391,497695706.5,558665617.8,58834536.85
Bexley,563400.7022,397709834,740583971.6,103891618.9
Brent,0,760989201.3,527863659.4,88563976.54
Bromley,6745.674683,403675812,387689782.6,81778418
Camden,159728.2977,1347909963,1440810336,67470096.9
City of London,53242.76589,2044086113,840514715,52209186.62
Croydon,212019.9384,641982058.5,464817936.7,37673809.75
Ealing,573052.6523,893239094.2,738026123.6,103971728.8
Enfield,341365.8254,533476910.1,530324332.7,75210218.38
Greenwich,54022.77217,453464919,463752344.7,74762272.93
Hackney,616643.468,555231233.4,386900312.1,26608350.9
Hammersmith and Fulham,0,666008457.9,579163323,38632865.93
Haringey,212971.0636,407443434.1,354621065.2,27361290.26
Harrow,390.0031369,219548481.6,248027823.9,23958258.52
Havering,599875.9454,384886863,239500365.3,67170490.17
Hillingdon,360466.3648,961447721.6,765947363.5,504474951.9
Hounslow,704250.8777,919860932.7,585950871.9,53827785.29
Islington,770079.0583,812213445.1,689724830.4,26092332.45
Kensington and Chelsea,187800.2341,968513812.9,884043469.6,8990548.336
Kingston,1064855.318,352912523.1,246471042.6,32300214.06
Lambeth,0,628572241.2,790187053.8,16321034
Lewisham,100192.8244,287795558.3,351479998.6,10934959.77
Merton,1271663.675,461821954.5,309904328,30928684.24
Newham,212085.7429,1026579502,968403927,133016374.2
Redbridge,638913.1907,264423170.9,246915071.3,34834087.62
Richmond,0,313531762.3,314170688.5,28374309.23
Southwark,532557.66,1209456920,1041029542,34972796.63
Sutton,46950.05851,357647101.5,267635009.6,32549508.14
Tower Hamlets,2073076.269,2162401194,806126462.7,78133513.71
Waltham Forest,100192.8244,332661082.9,290025786.5,37484877.06
Wandsworth,46950.05851,507934658,623790111.3,23013500.74
Westminster,14249248.44,3141506169,2682985252,189234078
