BoroughID,Aviation,Railways Diesel,Railways Electric,Road Transport,Shipping
Barking and Dagenham,0,6173389.867,45078995.51,539794498.2,9229235.864
Barnet,899266.6414,19614625.16,80700005.51,1553126234,0
Bexley,31939472.46,3191701.213,20703867.21,753868936.1,6743132.546
Brent,1246291.319,32386800.64,100239077.5,833416784.3,0
Bromley,5696134.24,2763415.686,49344726.22,1001012596,0
Camden,0,25358143.18,106633951.7,598470907.9,0
City of London,4952688.921,0,46069616.37,207473394.7,7995761.22
Croydon,1142556.818,4919937.977,60909076.2,925531585.8,0
Ealing,597316.6246,52310737.01,62388433.99,1121874095,0
Enfield,1258178.17,2222860.581,43414016.56,1432273245,0
Greenwich,25647224.79,2266524.86,32227246.39,871703883.1,8608031.697
Hackney,452223.7088,3138575.168,24118059.62,478948373.3,0
Hammersmith and Fulham,62910936.99,10439296.09,46558940.92,438708171.3,310738.8298
Haringey,0,8955852.415,61829551.01,529405375.4,0
Harrow,966246.6721,13487710.51,46137670.02,557661667.5,0
Havering,11345427.8,7515085.921,45801123.37,1392758085,683803.2459
Hillingdon,2977568704,41564378.62,53322364.87,1639884584,0
Hounslow,462804406.1,1420312.372,43231049.24,1136086431,380117.1368
Islington,0,6588106.937,55653211.35,391907644.3,0
Kensington and Chelsea,7777884.064,7832996.403,58393308.43,454891822.4,58601.0218
Kingston,0,2084513.59,17270649.6,628238938.8,140424.7249
Lambeth,0,3470683.793,111778564.7,641560167.3,4617325.409
Lewisham,36514.95786,5095896.266,49765300.8,604484197.8,2459.092091
Merton,0,2691945.462,53383512.48,516718942.6,0
Newham,153000557.4,8962609.487,104074300.3,728510166.2,4190802.021
Redbridge,3286971.32,2661824.828,45121543.85,1006620743,0
Richmond,186052304.6,494840.7162,22512068.48,641959906.3,932977.0177
Southwark,4953327.839,2566699.221,68807142.75,632319353.3,8190690.621
Sutton,178385.9636,0,10244093.57,441513847.5,0
Tower Hamlets,49186352.94,6945.587227,97769317.34,630905379.9,19158302.63
Waltham Forest,2277971.602,7604313.591,31724969.56,693188567,0
Wandsworth,56611347.88,5270321.936,96902060.47,667540163.9,255808.4733
Westminster,0,10763868.29,157234246.5,968441884.2,6764097.782
